XAX1107,13,10,11,26
XAX1108,7,10,16,32
XAX1109,15,11,22,30
XAX111,24,15,18,46
XAX1110,12,7,21,32
XAX1111,15,13,20,43
XAX1112,19,13,38,52
XAX1113,24,13,38,67
XAX1114,6,11,12,23
XAX1115,23,10,34,39
XAX1116,51,37,71,124
XAX1117,21,9,18,48
XAX1118,36,17,23,55
XAX1119,10,7,12,10
XAX112,24,10,30,68
XAX1120,32,24,44,72
XAX1121,20,10,24,64
XAX1122,21,6,20,34
XAX1123,13,37,65,78
XAX1124,16,9,20,48
XAX1125,37,30,47,63
XAX1126,33,34,29,83
XAX1127,3,3,11,30
XAX1128,17,5,22,26
XAX1129,35,20,35,53
XAX113,32,33,40,79
XAX1130,12,9,14,29
XAX1131,8,12,21,33
XAX1132,22,7,28,62
XAX1133,15,6,24,50
XAX1134,31,14,44,56
XAX1135,20,19,33,38
XAX1136,13,19,30,81
XAX1137,15,31,42,53
XAX1138,10,10,14,15
XAX1139,29,26,28,52
XAX114,11,0,24,28
XAX1140,20,6,46,53
XAX1141,37,44,41,78
XAX1142,21,19,33,49
XAX1143,6,8,7,20
XAX1144,20,26,34,28
XAX1146,28,35,41,58
XAX1147,13,15,16,22
XAX1148,57,40,66,128
XAX1149,44,50,54,119
XAX115,8,2,11,17
XAX1150,35,29,26,100
XAX1151,50,34,48,120
XAX1152,22,24,34,74
XAX1153,19,9,14,45
XAX1154,12,21,12,49
XAX1155,25,17,25,56
XAX1156,29,19,42,74
XAX1157,22,12,23,27
XAX1158,22,6,25,39
XAX1159,5,4,12,15
XAX116,2,6,15,18
XAX1160,37,37,58,82
XAX1161,35,16,47,94
XAX1162,26,19,35,45
XAX1163,10,7,29,29
XAX1164,20,28,19,48
XAX1165,56,55,94,91
XAX1166,4,1,8,13
XAX1167,23,21,29,43
XAX1168,27,21,60,64
XAX1169,9,11,20,23
XAX117,4,6,8,23
XAX1170,21,23,30,43
XAX1171,17,5,4,48
XAX1172,26,88,36,62
XAX1173,17,4,19,29
XAX1174,10,12,17,17
XAX1175,26,19,38,78
XAX1176,10,28,22,24
XAX1177,24,21,28,43
XAX1178,37,27,32,84
XAX1179,22,3,36,47
XAX118,11,13,23,36
XAX1180,32,34,63,82
XAX1181,18,35,13,73
XAX1182,27,37,37,70
XAX1183,25,59,51,63
XAX1184,26,22,16,75
XAX1185,18,8,43,46
XAX1186,54,63,77,125
XAX1187,24,22,25,42
XAX1188,36,15,52,56
XAX1189,3,1,7,8
XAX119,57,30,74,58
XAX1190,21,10,20,49
XAX1191,15,11,17,43
XAX1192,20,13,20,53
XAX1193,15,7,15,43
XAX1194,35,14,43,70
XAX1195,30,22,42,65
XAX1196,10,9,8,29
XAX1197,16,41,20,47
XAX1198,24,22,28,66
XAX1199,17,30,16,39
XAX12,47,19,72,107
XAX120,22,27,23,58
XAX1200,47,33,83,111
XAX1201,35,11,56,54
XAX1202,23,18,59,64
XAX1203,40,31,31,65
XAX1204,31,23,50,67
XAX1205,29,38,24,51
XAX1206,25,16,16,52
XAX1207,50,43,63,95
XAX1208,0,52,27,29
XAX1209,14,21,31,40
XAX121,16,14,23,58
XAX1210,28,20,34,55
XAX1211,16,13,10,26
XAX1212,31,12,57,65
XAX1213,34,53,37,64
XAX1214,14,14,22,35
XAX1215,27,30,47,47
XAX1216,12,24,16,43
XAX1217,28,18,19,42
XAX1218,69,67,83,114
XAX1219,24,36,30,71
XAX122,22,19,37,70
XAX1220,5,10,17,30
XAX1221,36,27,36,84
XAX1222,31,38,62,106
XAX1223,17,18,21,50
XAX1224,26,53,22,58
XAX1225,33,81,35,95
XAX1226,34,26,33,52
XAX1227,46,42,46,74
XAX1228,22,17,46,49
XAX1229,33,19,14,63
XAX123,11,19,22,49
XAX1230,63,44,77,116
XAX1231,31,67,83,128
XAX1232,29,31,37,65
XAX1233,11,21,12,33
XAX1234,18,8,11,31
