XAX1197,16,41,20,47,10,0,10
XAX1198,24,22,28,66,17,8,17
XAX1199,17,30,16,39,12,6,12
XAX12,47,19,72,107,40,58,40
XAX120,22,27,23,58,15,19,15
XAX1200,47,33,83,111,60,34,60
XAX1201,35,11,56,54,30,38,30
XAX1202,23,18,59,64,39,46,39
XAX1203,40,31,31,65,27,29,27
XAX1204,31,23,50,67,33,19,33
XAX1205,29,38,24,51,20,38,20
XAX1206,25,16,16,52,15,7,15
XAX1207,50,43,63,95,39,30,39
XAX1208,0,52,27,29,15,27,15
XAX1209,14,21,31,40,19,56,19
XAX121,16,14,23,58,0,5,0
XAX1210,28,20,34,55,32,20,32
XAX1211,16,13,10,26,14,7,14
XAX1212,31,12,57,65,22,21,22
XAX1213,34,53,37,64,33,17,33
XAX1214,14,14,22,35,8,7,8
XAX1215,27,30,47,47,31,18,31
XAX1216,12,24,16,43,15,10,15
XAX1217,28,18,19,42,13,11,13
XAX1218,69,67,83,114,56,41,56
XAX1219,24,36,30,71,13,4,13
XAX122,22,19,37,70,11,10,11
XAX1220,5,10,17,30,12,5,12
XAX1221,36,27,36,84,23,25,23
XAX1222,31,38,62,106,37,20,37
XAX1223,17,18,21,50,13,19,13
XAX1224,26,53,22,58,18,20,18
XAX1225,33,81,35,95,29,39,29
XAX1226,34,26,33,52,18,15,18
XAX1227,46,42,46,74,28,17,28
XAX1228,22,17,46,49,33,19,33
XAX1229,33,19,14,63,12,6,12
XAX123,11,19,22,49,13,15,13
XAX1230,63,44,77,116,52,57,52
XAX1231,31,67,83,128,48,33,48
XAX1232,29,31,37,65,26,29,26
XAX1233,11,21,12,33,11,8,11
XAX1234,18,8,11,31,16,3,16
XAX1235,11,26,16,28,12,7,12
XAX1236,16,20,23,64,14,44,14
XAX1237,19,43,44,67,21,19,21
XAX1238,30,3,56,90,34,35,34
XAX1239,23,11,35,54,21,19,21
XAX124,19,23,30,53,15,11,15
XAX1240,84,86,102,127,52,60,52
XAX1241,55,47,60,121,37,21,37
XAX1242,30,29,62,79,44,29,44
XAX1243,14,20,16,50,13,18,13
XAX1244,22,23,30,51,20,15,20
XAX1245,42,37,61,91,41,41,41
XAX1247,15,13,16,27,19,12,19
XAX1248,31,48,32,72,21,4,21
XAX1249,37,15,46,94,32,29,32
XAX125,91,32,78,153,68,46,68
XAX1252,18,28,26,64,17,19,17
XAX1253,31,16,54,105,37,36,37
XAX1254,28,35,59,112,36,43,36
XAX1255,17,7,19,33,12,5,12
XAX1256,21,17,30,69,24,6,24
XAX1257,9,8,17,31,8,2,8
XAX1259,19,19,24,46,17,4,17
XAX126,20,8,16,59,12,12,12
XAX1260,30,18,51,68,29,28,29
XAX1261,38,28,58,88,20,28,20
