XAX1127,3,3,11
XAX1128,17,5,22
XAX1129,35,20,35
XAX113,32,33,40
XAX1130,12,9,14
XAX1131,8,12,21
XAX1132,22,7,28
XAX1133,15,6,24
XAX1134,31,14,44
XAX1135,20,19,33
XAX1136,13,19,30
XAX1137,15,31,42
XAX1138,10,10,14
XAX1139,29,26,28
XAX114,11,0,24
XAX1140,20,6,46
XAX1141,37,44,41
XAX1142,21,19,33
XAX1143,6,8,7
XAX1144,20,26,34
XAX1146,28,35,41
XAX1147,13,15,16
XAX1148,57,40,66
XAX1149,44,50,54
XAX115,8,2,11
XAX1150,35,29,26
XAX1151,50,34,48
XAX1152,22,24,34
XAX1153,19,9,14
XAX1154,12,21,12
XAX1155,25,17,25
XAX1156,29,19,42
XAX1157,22,12,23
XAX1158,22,6,25
XAX1159,5,4,12
XAX116,2,6,15
XAX1160,37,37,58
XAX1161,35,16,47
XAX1162,26,19,35
XAX1163,10,7,29
XAX1164,20,28,19
XAX1165,56,55,94
XAX1166,4,1,8
XAX1167,23,21,29
XAX1168,27,21,60
XAX1169,9,11,20
XAX117,4,6,8
XAX1170,21,23,30
XAX1171,17,5,4
XAX1172,26,88,36
XAX1173,17,4,19
XAX1174,10,12,17
XAX1175,26,19,38
XAX1176,10,28,22
XAX1177,24,21,28
XAX1178,37,27,32
XAX1179,22,3,36
XAX118,11,13,23
XAX1180,32,34,63
XAX1181,18,35,13
XAX1182,27,37,37
XAX1183,25,59,51
XAX1184,26,22,16
XAX1185,18,8,43
XAX1186,54,63,77
XAX1187,24,22,25
XAX1188,36,15,52
XAX1189,3,1,7
XAX119,57,30,74
XAX1190,21,10,20
XAX1191,15,11,17
XAX1192,20,13,20
XAX1193,15,7,15
XAX1194,35,14,43
XAX1195,30,22,42
XAX1196,10,9,8
XAX1197,16,41,20
XAX1198,24,22,28
XAX1199,17,30,16
XAX12,47,19,72
XAX120,22,27,23
XAX1200,47,33,83
XAX1201,35,11,56
XAX1202,23,18,59
XAX1203,40,31,31
XAX1204,31,23,50
XAX1205,29,38,24
XAX1206,25,16,16
XAX1207,50,43,63
XAX1208,0,52,27
XAX1209,14,21,31
XAX121,16,14,23
XAX1210,28,20,34
XAX1211,16,13,10
XAX1212,31,12,57
XAX1213,34,53,37
XAX1214,14,14,22
XAX1215,27,30,47
XAX1216,12,24,16
XAX1217,28,18,19
XAX1218,69,67,83
XAX1219,24,36,30
XAX122,22,19,37
XAX1220,5,10,17
XAX1221,36,27,36
XAX1222,31,38,62
XAX1223,17,18,21
XAX1224,26,53,22
XAX1225,33,81,35
XAX1226,34,26,33
